         2093178 function calls (2075061 primitive calls) in 13.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3476    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
     2298    0.002    0.000    0.003    0.000 weakmethod.py:37(__call__)
        1    0.000    0.000    0.003    0.003 secrets.py:1(<module>)
      536    0.000    0.000    0.003    0.000 PngImagePlugin.py:137(_crc32)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     5956    0.001    0.000    0.003    0.000 metrics.py:133(dp)
       48    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.003    0.003 cover.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ImageDraw.py:33(<module>)
 1240/248    0.001    0.000    0.003    0.000 animation.py:355(_calculate)
        9    0.000    0.000    0.003    0.000 __init__.py:1419(on_touch_down)
     2400    0.003    0.000    0.003    0.000 {method 'unbind_uid' of 'kivy._event.EventDispatcher' objects}
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
      234    0.001    0.000    0.003    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.002    0.002 BmpImagePlugin.py:27(<module>)
        9    0.000    0.000    0.002    0.000 __init__.py:1443(on_touch_up)
       49    0.000    0.000    0.002    0.000 PngImagePlugin.py:879(load_prepare)
      536    0.002    0.000    0.002    0.000 {built-in method zlib.crc32}
      473    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
       49    0.000    0.000    0.002    0.000 ImageFile.py:278(load_prepare)
